S,MSE
1,0.015609092272337876
2,0.003752639016835019
3,0.0009794592757307327
4,0.0009445031015566201
5,0.0006363011926023319
6,0.0005508922143771997
7,0.0008507364031665929
8,0.0005410088204462226
9,0.0005577715118552078
10,0.0005129014048452518
