N,MSE
10,0.031521355451390266
20,0.010086904581225098
30,0.0013790926602559922
40,0.002774941385627244
50,0.0010005411594247561
70,0.0005610980415776793
80,0.0004826187790786207
90,0.0003910736110387916
100,0.0005129014048452518
200,0.0002412604052169627
300,0.00015688398732004315
400,0.0002176256644715977
500,0.0001543791952549327
600,0.00014866258774736706
700,0.00011409780965868777
800,0.00015621749917761463
900,0.0001875259094622379
1000,0.00015073632628354971
