S,MSE
1,0.005581521369225811
2,0.0017086761505688628
3,0.0013318256367201684
4,0.0013605301443276403
5,0.00044317661111017515
6,0.0005892632095892623
7,0.0005028357876344672
8,0.0005735454948880942
9,0.00039186962921758096
10,0.0005422830115367106
